current,averageCurrent,peakCurrent,minCurrent,fluctuationRate,risk
9.76,9.85,12.77,7.03,6.63,0
9.68,9.14,11.75,5.99,0.29,0
5.96,6.25,8.55,4.25,0.5,0
9.85,9.26,10.82,7.12,0.66,0
5.55,5.69,7.75,3.79,8.28,1
8.93,8.58,10.81,5.99,4.34,0
9.5,9.49,13.64,5.34,2.69,0
8.34,8.2,10.15,6.11,4.74,0
4.81,4.98,6.64,3.5,1.47,0
9.21,8.12,9.94,5.23,8.0,1
4.26,3.91,4.73,2.72,2.29,0
5.03,4.56,5.46,3.19,3.37,0
8.36,7.65,9.81,4.78,4.32,0
11.54,11.79,15.31,8.51,4.23,0
3.94,3.95,5.47,2.45,6.99,0
8.81,8.01,9.98,5.22,7.64,1
10.14,10.45,13.87,7.32,1.63,0
9.07,9.5,13.1,6.34,4.29,0
10.93,10.26,12.2,7.66,4.14,0
6.47,6.67,9.27,4.26,0.19,0
9.22,8.68,11.36,5.45,7.96,1
6.74,6.49,7.78,4.97,4.84,0
5.7,5.86,7.66,4.23,6.25,0
12.65,12.55,17.68,7.32,7.38,1
8.29,7.82,9.59,5.57,8.47,1
12.57,11.81,14.97,7.9,0.63,0
13.63,14.14,19.42,9.39,3.34,0
9.9,10.08,14.18,6.18,0.67,0
6.12,6.18,8.18,4.26,8.25,1
8.67,8.94,11.97,6.17,4.12,0
5.54,5.54,7.1,3.98,9.81,1
8.35,7.7,9.36,5.39,7.05,1
7.36,7.06,9.24,4.57,0.11,0
9.51,9.28,12.64,5.7,8.94,1
8.11,7.94,9.97,5.76,2.53,0
6.95,6.54,7.51,5.17,8.76,1
9.15,9.46,12.8,6.43,2.51,0
6.01,5.85,7.26,4.27,5.17,0
9.0,8.46,9.67,6.71,1.61,0
8.78,8.38,11.36,5.0,9.36,1
6.59,6.82,9.17,4.71,7.86,1
10.31,9.92,12.97,6.49,8.38,1
6.62,6.25,7.84,4.3,2.3,0
4.41,4.42,5.85,3.01,0.15,0
10.04,9.44,12.68,5.6,6.2,0
7.84,7.18,9.18,4.51,8.21,1
12.89,13.22,18.68,8.1,6.49,0
9.79,8.65,10.43,5.72,9.33,1
6.27,5.81,6.75,4.4,0.39,0
10.56,10.35,13.11,7.37,7.59,1
8.26,8.4,11.96,4.96,7.7,1
4.61,4.43,6.04,2.64,4.64,0
9.13,8.79,10.86,6.38,4.17,0
4.67,4.57,5.72,3.31,2.2,0
5.06,4.93,6.43,3.29,6.6,0
10.47,10.72,15.15,6.55,7.93,1
7.57,6.8,8.04,4.78,2.76,0
2.04,2.06,2.76,1.38,2.66,0
6.47,6.2,7.72,4.4,1.17,0
5.86,6.01,8.33,3.83,7.93,1
7.25,7.2,9.06,5.3,2.05,0
6.41,6.42,8.32,4.53,9.77,1
6.2,6.11,8.41,3.71,8.22,1
9.89,9.55,12.05,6.73,8.62,1
13.55,12.84,15.16,9.82,3.34,0
5.58,5.48,7.65,3.22,0.12,0
6.31,5.85,6.66,4.57,5.77,0
9.97,9.07,10.74,6.49,1.97,0
7.3,6.75,8.33,4.62,0.04,0
8.83,7.73,9.35,5.02,9.44,1
10.23,9.77,11.62,7.45,4.25,0
6.27,5.7,6.82,4.0,1.05,0
8.02,7.26,8.69,5.07,0.66,0
10.86,10.78,15.18,6.3,3.92,0
11.31,10.11,11.93,7.09,1.56,0
3.04,2.92,3.79,1.93,0.18,0
11.02,11.17,14.51,7.99,9.27,1
10.51,10.44,13.65,7.16,7.64,1
8.55,8.65,12.05,5.35,8.79,1
8.93,8.35,10.66,5.46,7.04,1
8.98,8.41,10.12,6.12,5.53,0
4.68,4.7,6.74,2.69,1.83,0
8.23,8.32,11.64,5.1,1.95,0
9.01,8.58,11.61,5.11,3.1,0
7.94,7.35,9.06,5.06,0.78,0
8.59,8.05,9.4,6.16,6.52,0
14.18,14.46,20.25,8.94,3.98,0
2.24,2.16,2.79,1.46,9.63,1
5.07,4.72,5.4,3.68,3.68,0
9.73,8.93,11.06,5.99,0.7,0
3.22,3.21,4.2,2.22,6.71,0
10.27,9.69,11.83,6.97,5.38,0
8.84,8.61,11.15,5.85,7.42,1
9.87,9.18,11.75,5.92,9.99,1
9.89,10.16,13.51,7.09,9.85,1
4.93,4.37,5.43,2.74,6.94,0
7.02,7.4,10.16,5.03,9.14,1
5.06,4.89,6.71,2.89,8.91,1
7.66,7.0,8.05,5.28,9.44,1
8.98,8.73,11.91,5.29,7.82,1
7.12,6.81,8.63,4.69,8.5,1
7.81,7.79,10.7,4.87,1.55,0
8.99,8.65,11.52,5.44,3.0,0
9.55,9.85,13.44,6.55,2.65,0
4.29,4.28,5.59,2.96,5.47,0
7.82,7.18,8.46,5.27,8.36,1
11.8,11.1,13.93,7.58,0.69,0
7.22,7.0,8.68,5.09,2.53,0
9.83,10.11,13.15,7.35,6.61,0
